provide a forum for@R@	provide the opportunity for@R@
be more difficult for@R@	be imperative for@R@
be lower in@R@	be higher in@R@
have a huge impact on@R@	impact on@R@
be dealt with in	be evaluated in
kill for	die for
change to	give in to
be more interesting than@R@	be more important than@R@
run from	take place from
be intended to provide	be to have
function in@R@	run in@R@
be resolved in	be described in
dont know about@R@	don know@R@
be cut from@R@	cut@R@
sweep	persuade
revolutionize@R@	be changed by
have responsibility for	be accountable for
be a big part of	be an important aspect of
attribute	ascribe to
be complete without	be left without
presume@R@	evaluate@R@
be to say	be to get
head on	stay on
convert to	give in to
be rare for@R@	be uncommon for@R@
be integral to	be vital to
be a student at@R@	be enrolled at@R@
live be@R@	come be@R@
be found for	be put
be posted for	be included for
occur as@R@	develop as@R@
experience	live
come on@R@	descend on@R@
offer something for@R@	be something for@R@
have fond memory of	read
be organized in@R@	be separated into@R@
be the idea of@R@	be the topic of@R@
undermine	weaken
operate from	take place from
die by@R@	happen by@R@
be happy to@R@	to@R@
be absorbed in@R@	be absorbed by@R@
be a big part of	be the most important part of
find out more about@R@	find more information on@R@
take one look at	stare at
love work with@R@	enjoy play with@R@
go on to@R@	continue on to@R@
think of get@R@	end up buy@R@
announce in	express in
listen for@R@	find for@R@
spin on@R@	spin@R@
be popular for@R@	be recognized for@R@
be lack of	go down in
wake up	wake up in
provide a variety of@R@	have a variety of@R@
be practiced in	be invented in
fly in	proceed in
be intimidated by	restrain@R@
be indebted to	want to thank
head up to@R@	be by
love about@R@	chat about@R@
recall@R@	decide to call@R@
change since@R@	at@R@
finish with	come out with
manage to get@R@	come to get@R@
be sick of@R@	tire of@R@
look to make@R@	be ready to make@R@
serve to	help to
charge@R@	bill@R@
need a copy of	have a copy of
endure for@R@	go on for@R@
be available on@R@	be available via@R@
file in	in
end up in@R@	culminate in@R@
continue with	remain with
be a mix of@R@	be a blend of@R@
help out with	help out
be designed as@R@	be meant to be@R@
show some of@R@	give an overview of@R@
dont use@R@	begin use@R@
be sure to	be ready to
be discovered@R@	be produced@R@
wander in@R@	wander into@R@
customize	personalize
substitute for	substitute
say for	hear for
occupy in	require in
know for	live for
remember watch@R@	remember see@R@
develop on@R@	raise on@R@
