,text,hypothesis,entailment,tx,tpred,ty,hx,hpred,hy
0,african country exports coffee,coffee is a native of abyssinia,False,african country,exports,coffee,coffee,is a native of,abyssinia
1,african country exports oil,oil is carried down into egypt,False,african country,exports,oil,oil,is carried down into,egypt
2,african country exports oil,nigeria is the supplier of oil,True,african country,exports,oil,nigeria,is the supplier of,oil
3,african country exports oil,rhodesia lacks oil,False,african country,exports,oil,rhodesia,lacks,oil
4,african country exports oil,nigeria was the supplier of oil,True,african country,exports,oil,nigeria,was the supplier of,oil
5,african country exports oil,mozambique must import the oil,False,african country,exports,oil,mozambique,must import,the oil
6,african country exports oil,nigeria is the exporter of oil,True,african country,exports,oil,nigeria,is the exporter of,oil
7,african country is bigger than somalia,somalia attacked ethiopia,False,african country,is bigger than,somalia,somalia,attacked,ethiopia
8,african country is bigger than somalia,somalia overtook ethiopia,False,african country,is bigger than,somalia,somalia,overtook,ethiopia
9,african country is bigger than somalia,somalia accused ethiopia,False,african country,is bigger than,somalia,somalia,accused,ethiopia
10,african country is bigger than somalia,somalia is free as ethiopia,False,african country,is bigger than,somalia,somalia,is free as,ethiopia
11,african country is bigger than somalia,ethiopia accused somalia,False,african country,is bigger than,somalia,ethiopia,accused,somalia
12,african country is bigger than somalia,somalia had invaded ethiopia,False,african country,is bigger than,somalia,somalia,had invaded,ethiopia
13,african country is bigger than rwanda,burundi is bordered by rwanda,False,african country,is bigger than,rwanda,burundi,is bordered by,rwanda
14,african country is bigger than rwanda,rwanda is bounded by burundi,False,african country,is bigger than,rwanda,rwanda,is bounded by,burundi
15,african country is located near ethiopia,eritrea federated with ethiopia,False,african country,is located near,ethiopia,eritrea,federated with,ethiopia
16,african country is located near ethiopia,somalia attacked ethiopia,False,african country,is located near,ethiopia,somalia,attacked,ethiopia
17,african country is located near ethiopia,somalia overtook ethiopia,False,african country,is located near,ethiopia,somalia,overtook,ethiopia
18,african country is located near ethiopia,somalia accused ethiopia,False,african country,is located near,ethiopia,somalia,accused,ethiopia
19,african country is located near ethiopia,ethiopia was backed by libya,False,african country,is located near,ethiopia,ethiopia,was backed by,libya
20,african country is located near ethiopia,sudan is freer than ethiopia,False,african country,is located near,ethiopia,sudan,is freer than,ethiopia
21,african country is located near ethiopia,ethiopia has risen against egypt,False,african country,is located near,ethiopia,ethiopia,has risen against,egypt
22,african country is located near ethiopia,ethiopia accused somalia,False,african country,is located near,ethiopia,ethiopia,accused,somalia
23,african country is located near ethiopia,ethiopia contested with sudan,False,african country,is located near,ethiopia,ethiopia,contested with,sudan
24,african country is located near ethiopia,somalia had invaded ethiopia,False,african country,is located near,ethiopia,somalia,had invaded,ethiopia
25,african country is located near zambia,northern rhodesia became the republic of zambia,False,african country,is located near,zambia,northern rhodesia,became the republic of,zambia
26,african country is located near zambia,northern rhodesia became independent as zambia,False,african country,is located near,zambia,northern rhodesia,became independent as,zambia
27,african country is located near zambia,northern rhodesia became the nation of zambia,False,african country,is located near,zambia,northern rhodesia,became the nation of,zambia
28,african country is located near zambia,zambia recognized in angola,False,african country,is located near,zambia,zambia,recognized in,angola
29,african country is located near zambia,zambia was known as northern rhodesia,False,african country,is located near,zambia,zambia,was known as,northern rhodesia
30,african country is located near zambia,northern rhodesia became the states of zambia,False,african country,is located near,zambia,northern rhodesia,became the states of,zambia
31,african country is located near zambia,zambia is freer than angola,False,african country,is located near,zambia,zambia,is freer than,angola
32,african country is the largest in africa,nigeria is the state in africa,False,african country,is the largest in,africa,nigeria,is the state in,africa
33,african country is the largest in africa,rwanda is a country in africa,False,african country,is the largest in,africa,rwanda,is a country in,africa
34,african country is the largest in africa,ethiopia is a country in africa,False,african country,is the largest in,africa,ethiopia,is a country in,africa
35,african country is the largest in africa,africa includes algeria,False,african country,is the largest in,africa,africa,includes,algeria
36,african country is the largest in africa,africa had invaded angola,False,african country,is the largest in,africa,africa,had invaded,angola
37,african country is the largest in africa,africa would be known as namibia,False,african country,is the largest in,africa,africa,would be known as,namibia
38,african country is the largest in africa,botswana is a country in africa,False,african country,is the largest in,africa,botswana,is a country in,africa
39,african country is the largest in africa,liberia is the republic in africa,False,african country,is the largest in,africa,liberia,is the republic in,africa
40,african country is the largest in africa,africa had been with egypt,False,african country,is the largest in,africa,africa,had been with,egypt
41,african country is the largest in africa,africa includes south africa,False,african country,is the largest in,africa,africa,includes,south africa
42,african country is the largest in africa,mozambique concluded an agreement with africa,False,african country,is the largest in,africa,mozambique,concluded an agreement with,africa
43,african country is the largest in africa,africa agreed to withdraw from namibia,False,african country,is the largest in,africa,africa,agreed to withdraw from,namibia
44,african country is the largest in africa,africa joined tanzania,False,african country,is the largest in,africa,africa,joined,tanzania
45,african country is the largest in africa,africa excludes south africa,False,african country,is the largest in,africa,africa,excludes,south africa
46,african country is the largest in africa,africa was mandated to south africa,False,african country,is the largest in,africa,africa,was mandated to,south africa
47,african country is the largest in africa,libya meant simply africa,False,african country,is the largest in,africa,libya,meant simply,africa
48,african country is the largest in africa,namibia gained independence from africa,False,african country,is the largest in,africa,namibia,gained independence from,africa
49,african country is the largest in africa,africa includes morocco,False,african country,is the largest in,africa,africa,includes,morocco
50,african country is the largest in africa,lesotho is completely surrounded by africa,False,african country,is the largest in,africa,lesotho,is completely surrounded by,africa
51,african country is the largest in africa,nigeria is located in africa,False,african country,is the largest in,africa,nigeria,is located in,africa
52,african country is the largest in africa,africa intervened in angola,False,african country,is the largest in,africa,africa,intervened in,angola
53,african country is the largest in africa,africa was occupying namibia,False,african country,is the largest in,africa,africa,was occupying,namibia
54,african country is the largest in africa,ghana is located in africa,False,african country,is the largest in,africa,ghana,is located in,africa
55,african country is the largest in africa,ethiopia instituted proceedings against africa,False,african country,is the largest in,africa,ethiopia,instituted proceedings against,africa
56,african country is the largest in africa,ethiopia is located in africa,False,african country,is the largest in,africa,ethiopia,is located in,africa
57,african country is the largest in africa,madagascar is separated from africa,False,african country,is the largest in,africa,madagascar,is separated from,africa
58,african country is the largest in africa,kenya is the spot in africa,False,african country,is the largest in,africa,kenya,is the spot in,africa
59,african country is the largest in africa,liberia is the state in africa,False,african country,is the largest in,africa,liberia,is the state in,africa
60,african country is the largest in africa,nigeria is the giant of africa,True,african country,is the largest in,africa,nigeria,is the giant of,africa
61,african country is the largest in africa,africa imposed on lesotho,False,african country,is the largest in,africa,africa,imposed on,lesotho
62,african country is the largest in africa,south africa obtained africa,False,african country,is the largest in,africa,south africa,obtained,africa
63,african country is the largest in africa,burundi was incorporated into africa,False,african country,is the largest in,africa,burundi,was incorporated into,africa
64,african country is the largest in africa,morocco was the part of africa,False,african country,is the largest in,africa,morocco,was the part of,africa
