,text,hypothesis,entailment,tx,tpred,ty,hx,hpred,hy
0,The museum be open from March,The museum open at March,True,The museum,be open from,March,The museum,open at,March
1,PERCOCET solve all your problems,PERCOCET solve all of all your problems,True,PERCOCET,solve,all your problems,PERCOCET,solve all of,all your problems
2,your computer identify your browser,your computer reveal your browser,True,your computer,identify,your browser,your computer,reveal,your browser
3,Parents have a great influence on the career development of their children,Parents have a powerful influence on the career development of their children,True,Parents,have a great influence on,the career development of their children,Parents,have a powerful influence on,the career development of their children
4,Fans be encouraged to submit photos of themselves,Fans be encouraged to send in photos of themselves,True,Fans,be encouraged to submit,photos of themselves,Fans,be encouraged to send in,photos of themselves
5,a debtor be unable to pay his creditors,a debtor owe his creditors,True,a debtor,be unable to pay,his creditors,a debtor,owe,his creditors
6,No one figure out the cause,No one solve the cause,True,No one,figure out,the cause,No one,solve,the cause
7,The owner be happy to help drivers,The owner assist drivers,True,The owner,be happy to help,drivers,The owner,assist,drivers
8,Hamas be given a choice,Hamas obtain a choice,True,Hamas,be given,a choice,Hamas,obtain,a choice
9,Our company employ more than 400 workers,Our company provide employment for 400 workers,True,Our company,employ more than,400 workers,Our company,provide employment for,400 workers
10,the doctors be sure of the cause,the doctors be sure about the cause,True,the doctors,be sure of,the cause,the doctors,be sure about,the cause
11,This department have a large number of students,This department have a lot of students,True,This department,have a large number of,students,This department,have a lot of,students
12,Orange juice replenish Vitamin C and potassium,Orange juice rebuild Vitamin C and potassium,True,Orange juice,replenish,Vitamin C and potassium,Orange juice,rebuild,Vitamin C and potassium
13,The crew notice some of the damage,The crew see some of the damage,True,The crew,notice some of,the damage,The crew,see some of,the damage
14,The thesis be divided into three parts,The thesis be broken down into three parts,True,The thesis,be divided into,three parts,The thesis,be broken down into,three parts
15,students make the most of their university experience,students take advantage of their university experience,True,students,make the most of,their university experience,students,take advantage of,their university experience
16,These exercises alleviate pain,These exercises help ease pain,True,These exercises,alleviate,pain,These exercises,help ease,pain
17,detox diet be used for weight loss,detox diet be intended to be used for weight loss,True,detox diet,be used for,weight loss,detox diet,be intended to be used for,weight loss
18,This software be provided as-is,This software be supplied as-is,True,This software,be provided,as-is,This software,be supplied,as-is
19,the base sit on the ground,the base go on the ground,True,the base,sit on,the ground,the base,go on,the ground
20,God be called Yahweh,God be dubbed Yahweh,True,God,be called,Yahweh,God,be dubbed,Yahweh
21,Our business depend on your satisfaction,Our business be focused on your satisfaction,True,Our business,depend on,your satisfaction,Our business,be focused on,your satisfaction
22,Better stop off at the library,Better try to go to the library,True,Better,stop off at,the library,Better,try to go to,the library
23,not one agree with him,not one tend to agree with him,True,not one,agree with,him,not one,tend to agree with,him
24,Neutering hurt my pet,Neutering harm my pet,True,Neutering,hurt,my pet,Neutering,harm,my pet
25,width remain the same,width remain about the same,True,width,remain,the same,width,remain about,the same
26,this post be all about the differences,this post be about the differences,True,this post,be all about,the differences,this post,be about,the differences
27,The section guarantee equality,The section provide equality,True,The section,guarantee,equality,The section,provide,equality
28,their cards win the pot,their cards end up win the pot,True,their cards,win,the pot,their cards,end up win,the pot
29,the publics need to protect itself,the publics need to defend itself,True,the publics,need to protect,itself,the publics,need to defend,itself
30,Eric serve as an instructor,Eric assume the position of an instructor,True,Eric,serve as,an instructor,Eric,assume the position of,an instructor
31,Some insurance companies view biofeedback,Some insurance companies check biofeedback,True,Some insurance companies,view,biofeedback,Some insurance companies,check,biofeedback
32,Doctors recommend take Frova,Doctors recommend have Frova,True,Doctors,recommend take,Frova,Doctors,recommend have,Frova
33,Agriculture be big business in the United States,Agriculture be huge in the United States,True,Agriculture,be big business in,the United States,Agriculture,be huge in,the United States
34,This software be aimed for authors,This software be designed to help authors,True,This software,be aimed for,authors,This software,be designed to help,authors
35,Only registered users send e-mail to other users,Only registered users email to other users,True,Only registered users,send e-mail to,other users,Only registered users,email to,other users
36,Bose need to upgrade this product,Bose need to change this product,True,Bose,need to upgrade,this product,Bose,need to change,this product
37,Dad end up marry Mom,Dad wed Mom,True,Dad,end up marry,Mom,Dad,wed,Mom
38,Bonding be done with composite fillings,Bonding be handled with composite fillings,True,Bonding,be done with,composite fillings,Bonding,be handled with,composite fillings
39,Weight management be all about energy balance,Weight management be about energy balance,True,Weight management,be all about,energy balance,Weight management,be about,energy balance
41,Employers fail to make a good faith effort,Employers havent made a good faith effort,True,Employers,fail to make,a good faith effort,Employers,havent made,a good faith effort
42,These pictures originate from different sources,These pictures be imported from different sources,True,These pictures,originate from,different sources,These pictures,be imported from,different sources
43,UNESCO play a leading role in adult education,UNESCO play a critical role in adult education,True,UNESCO,play a leading role in,adult education,UNESCO,play a critical role in,adult education
44,Hurricane Rita lash western Louisiana and eastern Texas,Hurricane Rita sweep through western Louisiana and eastern Texas,True,Hurricane Rita,lash,western Louisiana and eastern Texas,Hurricane Rita,sweep through,western Louisiana and eastern Texas
45,Overnight camping be available for a fee,Overnight camping exist for a fee,True,Overnight camping,be available for,a fee,Overnight camping,exist for,a fee
46,The band look to expand its ranks,The band want to grow its ranks,True,The band,look to expand,its ranks,The band,want to grow,its ranks
47,this web site be a substitute for medical advice,this web site be construed as medical advice,True,this web site,be a substitute for,medical advice,this web site,be construed as,medical advice
48,Council want to reconsider this initiative,Council reexamine this initiative,True,Council,want to reconsider,this initiative,Council,reexamine,this initiative
49,many people crave in their church,many people want more in their church,True,many people,crave in,their church,many people,want more in,their church
50,The Vikings end up lose this game,The Vikings miss out on this game,True,The Vikings,end up lose,this game,The Vikings,miss out on,this game
51,everybody sit in the park,everybody go in the park,True,everybody,sit in,the park,everybody,go in,the park
52,Regulations increase the cost of building,Regulations affect the cost of building,True,Regulations,increase the cost of,building,Regulations,affect the cost of,building
53,the menu provide something for all tastes,the menu offer something for all tastes,True,the menu,provide something for,all tastes,the menu,offer something for,all tastes
54,the soldier get out of his car,the soldier be out of his car,True,the soldier,get out of,his car,the soldier,be out of,his car
55,the Chinese language be composed of characters,the Chinese language consist of characters,True,the Chinese language,be composed of,characters,the Chinese language,consist of,characters
56,the birds come for four days,the birds keep come for four days,True,the birds,come for,four days,the birds,keep come for,four days
57,their interests be aligned with yours,their interests ally with yours,True,their interests,be aligned with,yours,their interests,ally with,yours
58,Students need to build their credit history,Students need to create their credit history,True,Students,need to build,their credit history,Students,need to create,their credit history
59,him provide further information on Muhammad 's life,him provide detail about Muhammad 's life,True,him,provide further information on,Muhammad 's life,him,provide detail about,Muhammad 's life
60,these people pray to our God,these people worship our God,True,these people,pray to,our God,these people,worship,our God
61,this guy come look for an argument,this guy search for an argument,True,this guy,come look for,an argument,this guy,search for,an argument
62,humans be held accountable for their actions,humans be judged by their actions,True,humans,be held accountable for,their actions,humans,be judged by,their actions
63,Secondhand smoke be designated as a known human carcinogen,Secondhand smoke be named as a known human carcinogen,True,Secondhand smoke,be designated as,a known human carcinogen,Secondhand smoke,be named as,a known human carcinogen
64,Cephalexin prevent the bacteria,Cephalexin reduce the risk of the bacteria,True,Cephalexin,prevent,the bacteria,Cephalexin,reduce the risk of,the bacteria
65,the chief warn him,the chief caution him,True,the chief,warn,him,the chief,caution,him
66,the beer come in a bottle,the beer be given in a bottle,True,the beer,come in,a bottle,the beer,be given in,a bottle
67,the colors come from the sunlight,the colors be derived from the sunlight,True,the colors,come from,the sunlight,the colors,be derived from,the sunlight
68,Wanna hear about my day,Wanna learn about my day,True,Wanna,hear about,my day,Wanna,learn about,my day
69,your partner finish treatment,your partner finish up treatment,True,your partner,finish,treatment,your partner,finish up,treatment
70,my credit appear on my account,my credit appear in my account,True,my credit,appear on,my account,my credit,appear in,my account
71,CERT be an abbreviation of Computer Emergency Response Team,CERT mean Computer Emergency Response Team,True,CERT,be an abbreviation of,Computer Emergency Response Team,CERT,mean,Computer Emergency Response Team
72,A child build a new world,A child produce a new world,True,A child,build,a new world,A child,produce,a new world
73,"Interview post on November 17 , 2007","Interview post at November 17 , 2007",True,Interview,post on,"November 17 , 2007",Interview,post at,"November 17 , 2007"
74,Marie love to hear from readers,Marie enjoy hear from readers,True,Marie,love to hear from,readers,Marie,enjoy hear from,readers
75,the programme prove to be a great success,the programme be something of a great success,True,the programme,prove to be,a great success,the programme,be something of,a great success
76,Best Actor be gonna go to Mickey Rourke,Best Actor have the opportunity to go to Mickey Rourke,True,Best Actor,be gonna go to,Mickey Rourke,Best Actor,have the opportunity to go to,Mickey Rourke
77,the Lord Jesus Christ die for the sins of the world,the Lord Jesus Christ lay down his life for the sins of the world,True,the Lord Jesus Christ,die for,the sins of the world,the Lord Jesus Christ,lay down his life for,the sins of the world
79,The lounge be open for lunch and dinner,The lounge serve up lunch and dinner,True,The lounge,be open for,lunch and dinner,The lounge,serve up,lunch and dinner
80,The remainder of this document be divided up into sections,The remainder of this document be subdivided into sections,True,The remainder of this document,be divided up into,sections,The remainder of this document,be subdivided into,sections
81,This process end in Oregon,This process reach Oregon,True,This process,end in,Oregon,This process,reach,Oregon
82,vehicles be covered by auto insurance,vehicles be under auto insurance,True,vehicles,be covered by,auto insurance,vehicles,be under,auto insurance
83,Katie Holmes step out in Manhattan,Katie Holmes walk out in Manhattan,True,Katie Holmes,step out in,Manhattan,Katie Holmes,walk out in,Manhattan
84,benefits start on the first of the month,benefits get underway on the first of the month,True,benefits,start on,the first of the month,benefits,get underway on,the first of the month
85,the Corporation conduct any activities,the Corporation engage in any activities,True,the Corporation,conduct,any activities,the Corporation,engage in,any activities
86,Iran defend itself,Iran stand up for itself,True,Iran,defend,itself,Iran,stand up for,itself
87,Jesus come into Cana of Galilee,Jesus start to come into Cana of Galilee,True,Jesus,come into,Cana of Galilee,Jesus,start to come into,Cana of Galilee
88,Kim be grateful for the info,Kim be greatful for the info,True,Kim,be grateful for,the info,Kim,be greatful for,the info
89,him be contrary to his nature,him be contradictory to his nature,True,him,be contrary to,his nature,him,be contradictory to,his nature
90,this traffic go out to the internet,this traffic go over to the internet,True,this traffic,go out to,the internet,this traffic,go over to,the internet
91,food be better for their body,food be healthier for their body,True,food,be better for,their body,food,be healthier for,their body
92,just disappear with the wind,just take off with the wind,True,just,disappear with,the wind,just,take off with,the wind
93,The camera take the picture of the joint,The camera take picture of the joint,True,The camera,take the picture of,the joint,The camera,take picture of,the joint
94,The medicine be prevent withdrawal symptoms,The medicine protect from withdrawal symptoms,True,The medicine,be prevent,withdrawal symptoms,The medicine,protect from,withdrawal symptoms
95,Honda plan for U.S. sale,Honda plan U.S. sale,True,Honda,plan for,U.S. sale,Honda,plan,U.S. sale
96,the weather be fine for the BBQ,the weather be a good thing for the BBQ,True,the weather,be fine for,the BBQ,the weather,be a good thing for,the BBQ
97,prosecutors gain a murder indictment,prosecutors appear to gain a murder indictment,True,prosecutors,gain,a murder indictment,prosecutors,appear to gain,a murder indictment
98,cannot modify header information,cannot update header information,True,cannot,modify,header information,cannot,update,header information
99,Your parent turn off comments,Your parent cut off comments,True,Your parent,turn off,comments,Your parent,cut off,comments
100,electrical impulse travel along the wire,electrical impulse travel down the wire,True,electrical impulse,travel along,the wire,electrical impulse,travel down,the wire
102,The city have a wide range of clubs,The city offer a wide selection of clubs,True,The city,have a wide range of,clubs,The city,offer a wide selection of,clubs
103,officials announce Thursday,officials announce on Thursday,True,officials,announce,Thursday,officials,announce on,Thursday
104,Registration open this month,Registration begin this month,True,Registration,open,this month,Registration,begin,this month
