,text,hypothesis,entailment,tx,tpred,ty,hx,hpred,hy
0,metal be find in fruit,fruit contain metal,True,metal,be find in,fruit,fruit,contain,metal
1,state to quit cause,state to stop cause,True,state,to quit,cause,state,to stop,cause
2,state to stop cause,state to quit cause,True,state,to stop,cause,state,to quit,cause
3,chemical be find in food,food contain chemical,True,chemical,be find in,food,food,contain,chemical
4,food contain chemical,chemical be find in food,True,food,contain,chemical,chemical,be find in,food
5,hormone be make from substance,hormone be derive from substance,True,hormone,be make from,substance,hormone,be derive from,substance
6,hormone be derive from substance,hormone be make from substance,True,hormone,be derive from,substance,hormone,be make from,substance
7,publication report engine,publication report that engine,True,publication,report,engine,publication,report that,engine
8,publication report that engine,publication report engine,True,publication,report that,engine,publication,report,engine
9,food cause disorder,food can cause disorder,True,food,cause,disorder,food,can cause,disorder
10,food can cause disorder,food cause disorder,True,food,can cause,disorder,food,cause,disorder
11,author be bear in community,author live in community,True,author,be bear in,community,author,live in,community
12,author live in community,author be bear in community,True,author,live in,community,author,be bear in,community
13,employer offer service,employer provide service,True,employer,offer,service,employer,provide,service
14,employer provide service,employer offer service,True,employer,provide,service,employer,offer,service
15,acid be convert into chemical,acid be convert to chemical,True,acid,be convert into,chemical,acid,be convert to,chemical
16,acid be convert to chemical,acid be convert into chemical,True,acid,be convert to,chemical,acid,be convert into,chemical
17,region ed region,region ed region,True,region,ed,region,region,ed,region
18,region be part of region,region be part of region,True,region,be part of,region,region,be part of,region
19,company be headquarter in university,company be base in university,True,company,be headquarter in,university,company,be base in,university
20,company be base in university,company be headquarter in university,True,company,be base in,university,company,be headquarter in,university
21,employer inspect food,employer approve food,True,employer,inspect,food,employer,approve,food
22,employer approve food,employer inspect food,True,employer,approve,food,employer,inspect,food
23,food introduce system,food release system,True,food,introduce,system,food,release,system
24,food release system,food introduce system,True,food,release,system,food,introduce,system
25,acid find in vegetable,acid be find in vegetable,True,acid,find in,vegetable,acid,be find in,vegetable
26,acid be find in vegetable,acid find in vegetable,True,acid,be find in,vegetable,acid,find in,vegetable
27,speaker be bear in country,speaker invade country,True,speaker,be bear in,country,speaker,invade,country
28,speaker invade country,speaker be bear in country,True,speaker,invade,country,speaker,be bear in,country
29,substance cause disorder,substance can cause disorder,True,substance,cause,disorder,substance,can cause,disorder
30,substance can cause disorder,substance cause disorder,True,substance,can cause,disorder,substance,cause,disorder
31,school be locate in community,school  locate in community,True,school,be locate in,community,school, locate in,community
32,school  locate in community,school be locate in community,True,school, locate in,community,school,be locate in,community
33,fruit have release service,fruit launch service,True,fruit,have release,service,fruit,launch,service
34,corporation mean activity,corporation shall mean activity,True,corporation,mean,activity,corporation,shall mean,activity
35,corporation shall mean activity,corporation mean activity,True,corporation,shall mean,activity,corporation,mean,activity
36,graduate be bear in town,graduate live in town,True,graduate,be bear in,town,graduate,live in,town
37,graduate live in town,graduate be bear in town,True,graduate,live in,town,graduate,be bear in,town
38,member graduate from employer,member attend employer,True,member,graduate from,employer,member,attend,employer
39,member attend employer,member graduate from employer,True,member,attend,employer,member,graduate from,employer
40,room open to place,room lead to place,True,room,open to,place,room,lead to,place
