,templates,frequency,predicates,frequency,attributes,frequency
0,person beat george bush,27,beat,42,person,146
1,person beat jimmy carter,15,include,21,george bush,54
2,animal lives off animals,7,invented,14,animal,53
3,person appeared on television,7,eats,13,jimmy carter,30
4,animal has venom,5,has,12,television,18
5,body part secretes hormones,5,differ from,10,animals,18
6,person made a fortune from diamonds,5,found,9,insects,14
7,animal eats insects,5,lives off,8,new york,14
8,animal eats hay,4,set out for,7,america,12
9,solid food contains vitamins,4,lack,7,chemical,12
