,avgrank,freq
beat,81.5,55.0
rely on,262.5,19.0
remember,281.5,14.0
produce,362.5,15.0
speak,364.5,13.0
possess,454.5,12.0
play with,599.0,15.0
belong to,617.5,14.0
feature,636.5,10.0
admire,645.0,10.0
come from,656.5,19.0
talk about,669.0,8.0
mention,758.5,13.0
blame,769.0,10.0
abandon,782.5,17.0
interact with,997.5,6.0
represent,1072.5,8.0
attract,1108.5,6.0
serve as,1138.5,9.0
have,1147.0,7.0
set out for,1180.5,9.0
provide,1199.5,8.0
visit,1253.0,6.0
lack,1268.5,9.0
found,1292.0,11.0
differ from,1314.0,11.0
recommend,1314.0,15.0
refer to,1336.5,5.0
fight with,1494.0,7.0
live in,1536.5,7.0
enter,1586.5,15.0
employ,1639.5,5.0
require,1641.5,5.0
put on,1727.5,7.0
look at,1773.0,4.0
resemble,1773.5,7.0
use,1837.0,5.0
consider,1918.0,15.0
hit,1978.5,5.0
need,2011.5,5.0
act as,2048.0,4.0
act like,2051.5,5.0
engage in,2072.5,12.0
have a pair of,2107.0,4.0
appear in,2216.0,10.0
conquer,2251.0,3.0
include,2258.0,22.0
look like,2286.5,4.0
block,2448.0,4.0
speak for,2465.0,6.0
protect against,2480.0,3.0
face,2683.0,3.0
contribute to,2683.0,3.0
accuse,2862.5,3.0
lay in,2879.0,6.0
prepare for,2903.5,11.0
play on,2948.5,6.0
prevent,2967.5,8.0
manipulate,2988.5,2.0
believe in,2998.0,3.0
extract,3023.0,3.0
guard,3070.5,2.0
come into,3092.5,12.0
explain,3156.5,13.0
reside in,3184.5,2.0
explore,3290.5,5.0
exist in,3308.0,8.0
like to eat,3309.0,2.0
point to,3340.5,2.0
sell,3377.0,12.0
fly into,3415.5,3.0
favor,3440.5,6.0
threaten,3482.0,5.0
preserve,3501.5,3.0
share with,3502.5,6.0
store,3514.0,7.0
pursue,3524.0,4.0
want,3546.0,4.0
recover from,3645.0,2.0
live on,3772.0,2.0
earn in,3780.5,4.0
check,3780.5,14.0
carry,3789.5,6.0
march into,3794.5,2.0
approach,3823.5,10.0
cut off,3843.5,3.0
keep in,3905.0,3.0
diminish,3907.0,4.0
occur in,3951.0,11.0
defend,3951.0,12.0
read,3997.0,3.0
swim in,4105.0,2.0
press,4163.5,2.0
migrate to,4176.5,3.0
kill,4195.5,15.0
evacuate,4198.0,2.0
call,4198.0,2.0
obtain,4204.5,5.0
prepare,4208.5,8.0
have access to,4215.5,6.0
view,4262.5,4.0
come in,4328.0,9.0
turn out to be,4342.5,2.0
grow in,4385.0,4.0
enhance,4401.5,4.0
think of,4432.0,3.0
show,4454.5,2.0
conform to,4499.5,2.0
set,4567.0,8.0
prefer,4589.5,14.0
play a role in,4607.5,11.0
spread to,4616.5,4.0
bless,4641.5,3.0
contain,4673.5,9.0
remove,4690.5,4.0
leave,4692.5,5.0
draw,4693.0,4.0
attack,4697.5,6.0
travel to,4755.5,13.0
do not like,4761.5,2.0
consist of,4830.0,16.0
give to,4847.5,11.0
suffer with,4865.5,2.0
inhibit,4915.0,3.0
advise,4987.5,5.0
support,5005.0,2.0
pollinate,5042.5,2.0
install,5098.0,3.0
secure,5154.0,2.0
respect,5155.0,5.0
permit,5174.5,7.0
pump,5181.5,3.0
complain about,5202.5,3.0
depend on,5274.0,13.0
involve,5274.5,3.0
come to,5288.5,2.0
invade,5294.5,6.0
vary from,5297.0,4.0
reduce,5344.5,6.0
play in,5349.0,3.0
look for,5388.5,3.0
sell over,5454.0,2.0
have an interest in,5515.5,3.0
set out from,5560.5,2.0
wait for,5603.0,2.0
scratch,5609.5,3.0
read in,5673.5,3.0
fetch,5687.0,2.0
gain from,5724.5,2.0
advertise,5728.5,5.0
go to,5734.5,2.0
enjoy,5765.0,3.0
reveal,5815.5,2.0
plunge into,5860.0,2.0
emerge from,6080.5,2.0
surpass,6185.0,2.0
look to,6210.5,2.0
protect from,6257.0,2.0
accompany,6303.0,2.0
feel about,6410.0,2.0
originate in,6636.5,2.0
look upon,6708.5,2.0
work in,6810.0,2.0
create,6833.0,2.0
run on,6959.0,2.0
deviate from,7077.5,2.0
complain to,7158.0,2.0
say of,7162.5,2.0
behave like,7203.0,2.0
cast,7516.5,2.0
challenge,7669.5,2.0
list,7702.0,2.0
occur with,7783.5,2.0
