,templates,frequency,predicates,frequency,attributes,frequency
0,elephants prefer peanuts,6,come from,16,him,50
1,Others engage in applied research,6,consist of,15,itself,16
2,Participants prepare food,6,abandon,15,God,16
3,Cloning occur in nature,5,kill,14,Iran,16
4,India blame Pakistan,5,enter,14,food,14
5,an economic policy favor the rich,5,rely on,14,peanuts,12
6,the Raiders beat the Texans,5,consider,14,The site,12
7,the Truth come from a book,5,prefer,13,elephants,12
8,Canada consider this change,5,recommend,13,Participants,12
9,Iran defend itself,5,beat,13,applied research,12
