,templates,frequency,predicates,frequency,attributes,frequency
0,elephants prefer peanuts,6,come from,16,him,50
1,Others engage in applied research,6,consist of,15,itself,16
2,Participants prepare food,6,abandon,15,Iran,16
3,India blame Pakistan,5,rely on,14,God,16
4,Iran defend itself,5,enter,14,food,14
5,the Truth come from a book,5,consider,14,The site,12
6,the entrepreneur abandon the property,5,kill,14,elephants,12
7,stress play a role in depression,5,recommend,13,Participants,12
8,the Raiders beat the Texans,5,check,13,peanuts,12
9,an economic policy favor the rich,5,beat,13,Others,12
