,text_x,text_predicate,text_y,hypothesis_x,hypothesis_predicate,hypothesis_y,entailment
0,african country,exports,coffee,coffee,is a native of,abyssinia,False
1,african country,exports,oil,oil,is carried down into,egypt,False
2,african country,exports,oil,nigeria,is the supplier of,oil,True
3,african country,exports,oil,rhodesia,lacks,oil,False
4,african country,exports,oil,nigeria,was the supplier of,oil,True
5,african country,exports,oil,mozambique,must import,the oil,False
6,african country,exports,oil,nigeria,is the exporter of,oil,True
7,african country,is bigger than,somalia,somalia,attacked,ethiopia,False
8,african country,is bigger than,somalia,somalia,overtook,ethiopia,False
9,african country,is bigger than,somalia,somalia,accused,ethiopia,False
10,african country,is bigger than,somalia,somalia,is free as,ethiopia,False
11,african country,is bigger than,somalia,ethiopia,accused,somalia,False
12,african country,is bigger than,somalia,somalia,had invaded,ethiopia,False
13,african country,is bigger than,rwanda,burundi,is bordered by,rwanda,False
14,african country,is bigger than,rwanda,rwanda,is bounded by,burundi,False
15,african country,is located near,ethiopia,eritrea,federated with,ethiopia,False
16,african country,is located near,ethiopia,somalia,attacked,ethiopia,False
17,african country,is located near,ethiopia,somalia,overtook,ethiopia,False
18,african country,is located near,ethiopia,somalia,accused,ethiopia,False
19,african country,is located near,ethiopia,ethiopia,was backed by,libya,False
20,african country,is located near,ethiopia,sudan,is freer than,ethiopia,False
21,african country,is located near,ethiopia,ethiopia,has risen against,egypt,False
22,african country,is located near,ethiopia,ethiopia,accused,somalia,False
23,african country,is located near,ethiopia,ethiopia,contested with,sudan,False
24,african country,is located near,ethiopia,somalia,had invaded,ethiopia,False
25,african country,is located near,zambia,northern rhodesia,became the republic of,zambia,False
26,african country,is located near,zambia,northern rhodesia,became independent as,zambia,False
27,african country,is located near,zambia,northern rhodesia,became the nation of,zambia,False
28,african country,is located near,zambia,zambia,recognized in,angola,False
29,african country,is located near,zambia,zambia,was known as,northern rhodesia,False
30,african country,is located near,zambia,northern rhodesia,became the states of,zambia,False
31,african country,is located near,zambia,zambia,is freer than,angola,False
32,african country,is the largest in,africa,nigeria,is the state in,africa,False
33,african country,is the largest in,africa,rwanda,is a country in,africa,False
34,african country,is the largest in,africa,ethiopia,is a country in,africa,False
35,african country,is the largest in,africa,africa,includes,algeria,False
36,african country,is the largest in,africa,africa,had invaded,angola,False
37,african country,is the largest in,africa,africa,would be known as,namibia,False
38,african country,is the largest in,africa,botswana,is a country in,africa,False
39,african country,is the largest in,africa,liberia,is the republic in,africa,False
40,african country,is the largest in,africa,africa,had been with,egypt,False
41,african country,is the largest in,africa,africa,includes,south africa,False
42,african country,is the largest in,africa,mozambique,concluded an agreement with,africa,False
43,african country,is the largest in,africa,africa,agreed to withdraw from,namibia,False
44,african country,is the largest in,africa,africa,joined,tanzania,False
45,african country,is the largest in,africa,africa,excludes,south africa,False
46,african country,is the largest in,africa,africa,was mandated to,south africa,False
47,african country,is the largest in,africa,libya,meant simply,africa,False
48,african country,is the largest in,africa,namibia,gained independence from,africa,False
49,african country,is the largest in,africa,africa,includes,morocco,False
50,african country,is the largest in,africa,lesotho,is completely surrounded by,africa,False
51,african country,is the largest in,africa,nigeria,is located in,africa,False
52,african country,is the largest in,africa,africa,intervened in,angola,False
53,african country,is the largest in,africa,africa,was occupying,namibia,False
54,african country,is the largest in,africa,ghana,is located in,africa,False
55,african country,is the largest in,africa,ethiopia,instituted proceedings against,africa,False
56,african country,is the largest in,africa,ethiopia,is located in,africa,False
57,african country,is the largest in,africa,madagascar,is separated from,africa,False
58,african country,is the largest in,africa,kenya,is the spot in,africa,False
59,african country,is the largest in,africa,liberia,is the state in,africa,False
60,african country,is the largest in,africa,nigeria,is the giant of,africa,True
61,african country,is the largest in,africa,africa,imposed on,lesotho,False
62,african country,is the largest in,africa,south africa,obtained,africa,False
63,african country,is the largest in,africa,burundi,was incorporated into,africa,False
64,african country,is the largest in,africa,morocco,was the part of,africa,False
65,african country,is the largest in,africa,africa,agreed to withdraw from,angola,False
66,african country,is the largest in,africa,africa,should withdraw from,namibia,False
67,african country,is the largest in,africa,nigeria,is the market in,africa,False
68,african country,is the largest in,africa,the gold coast,became the colony in,africa,False
69,african country,is the largest in,africa,africa,intervened in,lesotho,False
70,african country,is the largest in,africa,africa,is freer than,tanzania,False
71,african country,is the largest in,africa,burundi,became part of,africa,False
72,african country,is the largest in,africa,liberia,lies on the coast of,africa,False
73,african country,is the largest in,africa,madagascar,was cut off from,africa,False
74,african country,is the largest in,africa,abyssinia,is a country of,africa,False
75,african country,is the largest in,africa,africa,received from,egypt,False
76,african country,is the largest in,africa,africa,consists of,kenya,False
77,african country,is the largest in,africa,africa,gradually superseded,libya,False
78,african country,is the largest in,africa,africa,continued to occupy,namibia,False
79,african country,is the largest in,africa,botswana,had to rely on,africa,False
80,african country,is the largest in,africa,liberia,is the exporter in,africa,False
81,african country,is the largest in,africa,mauritania,lies on the coast of,africa,False
82,african country,is the largest in,africa,mozambique,signed a pact with,africa,False
83,african country,is the largest in,africa,tanzania,is among the countries in,africa,False
84,african country,is the largest in,africa,africa,took the place of,libya,False
85,african country,is the largest in,africa,angola,became the producer in,africa,False
86,african country,is the largest in,africa,egypt,flourished in,africa,False
87,african country,is the largest in,africa,gabon,is located on the coast of,africa,False
88,african country,is the largest in,africa,lesotho,is entirely surrounded by,africa,False
89,african country,is the largest in,africa,senegal,is located on the coast of,africa,False
90,african country,is the largest in,africa,uganda,lies at the heart of,africa,False
91,african country,receives help from,the united nations,the united nations,imposed on,libya,False
92,african country,receives help from,the united nations,the united nations,imposed against,rhodesia,False
93,african country,receives help from,the united nations,libya,shall be admitted to,the united nations,False
94,african country,receives help from,the united nations,ethiopia,joined,the united nations,False
95,african country,receives help from,the united nations,the united nations,federated with,ethiopia,False
96,african country,receives help from,the united nations,the united nations,imposed on,rhodesia,False
97,african country,speaks,french,the french,invaded,algeria,False
98,african country,speaks,french,the french,invaded,madagascar,False
99,african country,speaks,french,french,evacuate,egypt,False
100,african country,speaks,french,the french,were expelled from,egypt,False
101,african country,speaks,french,the french,have seized,tunisia,False
102,african country,speaks,french,french,invade,algeria,False
103,african country,speaks,french,the french,left,algeria,False
104,african country,speaks,french,the french,have done so in,algeria,False
105,african country,speaks,french,the french,landed troops in,morocco,False
106,african country,speaks,french,the french,had succeeded to,the gambia,False
107,african country,speaks,french,the french,moved into,tunisia,False
108,african country,speaks,french,french,is the language of,niger,True
109,african country,speaks,french,the french,began to occupy,madagascar,False
110,african country,speaks,french,the french,had driven from,senegal,False
111,african country,speaks,french,the french,explored,the senegal,False
112,african country,speaks,french,the french,recovered,senegal,False
113,african country,speaks,french,the french,established on,the lower senegal,False
114,african country,speaks,french,the french,to withdraw from,egypt,False
115,african country,speaks,french,the french,would stay in,morocco,False
